

Kraj,Rok,Typ,BordelTyp,Hodnota
SK010,2004,ODPAD_TONY_KM2,3,3.2

SK010,2004,ODPAD_TONY_KM2,4,1.2

SK010,2003,PROD_TONY,1,628.8

SK010,2003,PROD_TONY,2,12304.5

SK010,2003,PROD_TONY,3,6675.3

SK010,2003,PROD_TONY,4,3342.4

SK010,2003,ODPAD_TONY_KM2,1,0.3

SK010,2003,ODPAD_TONY_KM2,2,6

SK010,2003,ODPAD_TONY_KM2,3,3.3

SK010,2003,ODPAD_TONY_KM2,4,1.6

SK010,2002,PROD_TONY,1,635.3

SK010,2002,PROD_TONY,2,11434.5

SK010,2002,PROD_TONY,3,6914.2

SK010,2002,PROD_TONY,4,2082

SK010,2002,ODPAD_TONY_KM2,1,0.3

SK010,2002,ODPAD_TONY_KM2,2,5.6

SK010,2002,ODPAD_TONY_KM2,3,3.4

SK010,2002,ODPAD_TONY_KM2,4,1

SK010,2001,PROD_TONY,1,663.2

SK010,2001,PROD_TONY,2,13741

SK010,2001,PROD_TONY,3,6625.2

SK010,2001,PROD_TONY,4,1998.8

SK010,2001,ODPAD_TONY_KM2,1,0.3

SK010,2001,ODPAD_TONY_KM2,2,6.7

SK010,2001,ODPAD_TONY_KM2,3,3.2

SK010,2001,ODPAD_TONY_KM2,4,1

SK0101,2019,PROD_TONY,1,

SK0101,2019,PROD_TONY,2,

SK0101,2019,PROD_TONY,3,

SK0101,2019,PROD_TONY,4,

SK0101,2019,ODPAD_TONY_KM2,1,

SK0101,2019,ODPAD_TONY_KM2,2,

SK0101,2019,ODPAD_TONY_KM2,3,

SK0101,2019,ODPAD_TONY_KM2,4,

SK0101,2018,PROD_TONY,1,

SK0101,2018,PROD_TONY,2,

SK0101,2018,PROD_TONY,3,

SK0101,2018,PROD_TONY,4,

SK0101,2018,ODPAD_TONY_KM2,1,

SK0101,2018,ODPAD_TONY_KM2,2,

SK0101,2018,ODPAD_TONY_KM2,3,

SK0101,2018,ODPAD_TONY_KM2,4,

SK0101,2017,PROD_TONY,1,

SK0101,2017,PROD_TONY,2,

SK0101,2017,PROD_TONY,3,

SK0101,2017,PROD_TONY,4,

SK0101,2017,ODPAD_TONY_KM2,1,

SK0101,2017,ODPAD_TONY_KM2,2,

SK0101,2017,ODPAD_TONY_KM2,3,

SK0101,2017,ODPAD_TONY_KM2,4,

SK0101,2016,PROD_TONY,1,

SK0101,2016,PROD_TONY,2,

SK0101,2016,PROD_TONY,3,

SK0101,2016,PROD_TONY,4,

SK0101,2016,ODPAD_TONY_KM2,1,

SK0101,2016,ODPAD_TONY_KM2,2,

SK0101,2016,ODPAD_TONY_KM2,3,

SK0101,2016,ODPAD_TONY_KM2,4,

SK0101,2015,PROD_TONY,1,

SK0101,2015,PROD_TONY,2,

SK0101,2015,PROD_TONY,3,

SK0101,2015,PROD_TONY,4,

SK0101,2015,ODPAD_TONY_KM2,1,

SK0101,2015,ODPAD_TONY_KM2,2,

SK0101,2015,ODPAD_TONY_KM2,3,

SK0101,2015,ODPAD_TONY_KM2,4,

SK0101,2014,PROD_TONY,1,

SK0101,2014,PROD_TONY,2,

SK0101,2014,PROD_TONY,3,

SK0101,2014,PROD_TONY,4,

SK0101,2014,ODPAD_TONY_KM2,1,

SK0101,2014,ODPAD_TONY_KM2,2,

SK0101,2014,ODPAD_TONY_KM2,3,

SK0101,2014,ODPAD_TONY_KM2,4,

SK0101,2013,PROD_TONY,1,

SK0101,2013,PROD_TONY,2,

SK0101,2013,PROD_TONY,3,

SK0101,2013,PROD_TONY,4,

SK0101,2013,ODPAD_TONY_KM2,1,

SK0101,2013,ODPAD_TONY_KM2,2,

SK0101,2013,ODPAD_TONY_KM2,3,

SK0101,2013,ODPAD_TONY_KM2,4,

SK0101,2012,PROD_TONY,1,

SK0101,2012,PROD_TONY,2,

SK0101,2012,PROD_TONY,3,

SK0101,2012,PROD_TONY,4,

SK0101,2012,ODPAD_TONY_KM2,1,

SK0101,2012,ODPAD_TONY_KM2,2,

SK0101,2012,ODPAD_TONY_KM2,3,

SK0101,2012,ODPAD_TONY_KM2,4,

SK0101,2011,PROD_TONY,1,

SK0101,2011,PROD_TONY,2,

SK0101,2011,PROD_TONY,3,

SK0101,2011,PROD_TONY,4,

SK0101,2011,ODPAD_TONY_KM2,1,

SK0101,2011,ODPAD_TONY_KM2,2,

SK0101,2011,ODPAD_TONY_KM2,3,

SK0101,2011,ODPAD_TONY_KM2,4,

SK0101,2010,PROD_TONY,1,

SK0101,2010,PROD_TONY,2,

SK0101,2010,PROD_TONY,3,

SK0101,2010,PROD_TONY,4,

SK0101,2010,ODPAD_TONY_KM2,1,

SK0101,2010,ODPAD_TONY_KM2,2,

SK0101,2010,ODPAD_TONY_KM2,3,

SK0101,2010,ODPAD_TONY_KM2,4,

SK0101,2009,PROD_TONY,1,

SK0101,2009,PROD_TONY,2,

SK0101,2009,PROD_TONY,3,

SK0101,2009,PROD_TONY,4,

SK0101,2009,ODPAD_TONY_KM2,1,

SK0101,2009,ODPAD_TONY_KM2,2,

SK0101,2009,ODPAD_TONY_KM2,3,

SK0101,2009,ODPAD_TONY_KM2,4,

SK0101,2008,PROD_TONY,1,

SK0101,2008,PROD_TONY,2,

SK0101,2008,PROD_TONY,3,

SK0101,2008,PROD_TONY,4,

SK0101,2008,ODPAD_TONY_KM2,1,

SK0101,2008,ODPAD_TONY_KM2,2,

SK0101,2008,ODPAD_TONY_KM2,3,

SK0101,2008,ODPAD_TONY_KM2,4,

SK0101,2007,PROD_TONY,1,

SK0101,2007,PROD_TONY,2,

SK0101,2007,PROD_TONY,3,

SK0101,2007,PROD_TONY,4,

SK0101,2007,ODPAD_TONY_KM2,1,

SK0101,2007,ODPAD_TONY_KM2,2,

SK0101,2007,ODPAD_TONY_KM2,3,

SK0101,2007,ODPAD_TONY_KM2,4,

SK0101,2006,PROD_TONY,1,

SK0101,2006,PROD_TONY,2,

SK0101,2006,PROD_TONY,3,

SK0101,2006,PROD_TONY,4,

SK0101,2006,ODPAD_TONY_KM2,1,

SK0101,2006,ODPAD_TONY_KM2,2,

SK0101,2006,ODPAD_TONY_KM2,3,

SK0101,2006,ODPAD_TONY_KM2,4,

SK0101,2005,PROD_TONY,1,

SK0101,2005,PROD_TONY,2,

SK0101,2005,PROD_TONY,3,

SK0101,2005,PROD_TONY,4,

SK0101,2005,ODPAD_TONY_KM2,1,

SK0101,2005,ODPAD_TONY_KM2,2,

SK0101,2005,ODPAD_TONY_KM2,3,

SK0101,2005,ODPAD_TONY_KM2,4,

SK0101,2004,PROD_TONY,1,

SK0101,2004,PROD_TONY,2,

SK0101,2004,PROD_TONY,3,

SK0101,2004,PROD_TONY,4,

SK0101,2004,ODPAD_TONY_KM2,1,

SK0101,2004,ODPAD_TONY_KM2,2,

SK0101,2004,ODPAD_TONY_KM2,3,

SK0101,2004,ODPAD_TONY_KM2,4,

SK0101,2003,PROD_TONY,1,

SK0101,2003,PROD_TONY,2,

SK0101,2003,PROD_TONY,3,

SK0101,2003,PROD_TONY,4,

SK0101,2003,ODPAD_TONY_KM2,1,

SK0101,2003,ODPAD_TONY_KM2,2,

SK0101,2003,ODPAD_TONY_KM2,3,

SK0101,2003,ODPAD_TONY_KM2,4,

SK0101,2002,PROD_TONY,1,

SK0101,2002,PROD_TONY,2,

SK0101,2002,PROD_TONY,3,

SK0101,2002,PROD_TONY,4,

SK0101,2002,ODPAD_TONY_KM2,1,

SK0101,2002,ODPAD_TONY_KM2,2,

SK0101,2002,ODPAD_TONY_KM2,3,

SK0101,2002,ODPAD_TONY_KM2,4,

SK0101,2001,PROD_TONY,1,

SK0101,2001,PROD_TONY,2,

SK0101,2001,PROD_TONY,3,

SK0101,2001,PROD_TONY,4,

SK0101,2001,ODPAD_TONY_KM2,1,

SK0101,2001,ODPAD_TONY_KM2,2,

SK0101,2001,ODPAD_TONY_KM2,3,

SK0101,2001,ODPAD_TONY_KM2,4,

SK0102,2019,PROD_TONY,1,

SK0102,2019,PROD_TONY,2,

SK0102,2019,PROD_TONY,3,

SK0102,2019,PROD_TONY,4,

SK0102,2019,ODPAD_TONY_KM2,1,

SK0102,2019,ODPAD_TONY_KM2,2,

SK0102,2019,ODPAD_TONY_KM2,3,

SK0102,2019,ODPAD_TONY_KM2,4,

SK0102,2018,PROD_TONY,1,

SK0102,2018,PROD_TONY,2,

SK0102,2018,PROD_TONY,3,

SK0102,2018,PROD_TONY,4,

SK0102,2018,ODPAD_TONY_KM2,1,

SK0102,2018,ODPAD_TONY_KM2,2,

SK0102,2018,ODPAD_TONY_KM2,3,

SK0102,2018,ODPAD_TONY_KM2,4,

SK0102,2017,PROD_TONY,1,

SK0102,2017,PROD_TONY,2,

SK0102,2017,PROD_TONY,3,

SK0102,2017,PROD_TONY,4,

SK0102,2017,ODPAD_TONY_KM2,1,

SK0102,2017,ODPAD_TONY_KM2,2,

SK0102,2017,ODPAD_TONY_KM2,3,

SK0102,2017,ODPAD_TONY_KM2,4,

SK0102,2016,PROD_TONY,1,

SK0102,2016,PROD_TONY,2,

SK0102,2016,PROD_TONY,3,

SK0102,2016,PROD_TONY,4,

SK0102,2016,ODPAD_TONY_KM2,1,

SK0102,2016,ODPAD_TONY_KM2,2,

SK0102,2016,ODPAD_TONY_KM2,3,

SK0102,2016,ODPAD_TONY_KM2,4,

SK0102,2015,PROD_TONY,1,

SK0102,2015,PROD_TONY,2,

SK0102,2015,PROD_TONY,3,

SK0102,2015,PROD_TONY,4,

SK0102,2015,ODPAD_TONY_KM2,1,

SK0102,2015,ODPAD_TONY_KM2,2,

SK0102,2015,ODPAD_TONY_KM2,3,

SK0102,2015,ODPAD_TONY_KM2,4,

SK0102,2014,PROD_TONY,1,

SK0102,2014,PROD_TONY,2,

SK0102,2014,PROD_TONY,3,

SK0102,2014,PROD_TONY,4,

SK0102,2014,ODPAD_TONY_KM2,1,

SK0102,2014,ODPAD_TONY_KM2,2,

SK0102,2014,ODPAD_TONY_KM2,3,

SK0102,2014,ODPAD_TONY_KM2,4,

SK0102,2013,PROD_TONY,1,

SK0102,2013,PROD_TONY,2,

SK0102,2013,PROD_TONY,3,

SK0102,2013,PROD_TONY,4,

SK0102,2013,ODPAD_TONY_KM2,1,

SK0102,2013,ODPAD_TONY_KM2,2,

SK0102,2013,ODPAD_TONY_KM2,3,

SK0102,2013,ODPAD_TONY_KM2,4,

SK0102,2012,PROD_TONY,1,

SK0102,2012,PROD_TONY,2,

SK0102,2012,PROD_TONY,3,

SK0102,2012,PROD_TONY,4,

SK0102,2012,ODPAD_TONY_KM2,1,

SK0102,2012,ODPAD_TONY_KM2,2,

SK0102,2012,ODPAD_TONY_KM2,3,

SK0102,2012,ODPAD_TONY_KM2,4,

SK0102,2011,PROD_TONY,1,

SK0102,2011,PROD_TONY,2,

SK0102,2011,PROD_TONY,3,

SK0102,2011,PROD_TONY,4,

SK0102,2011,ODPAD_TONY_KM2,1,

SK0102,2011,ODPAD_TONY_KM2,2,

SK0102,2011,ODPAD_TONY_KM2,3,

SK0102,2011,ODPAD_TONY_KM2,4,

SK0102,2010,PROD_TONY,1,

SK0102,2010,PROD_TONY,2,

SK0102,2010,PROD_TONY,3,

SK0102,2010,PROD_TONY,4,

SK0102,2010,ODPAD_TONY_KM2,1,

SK0102,2010,ODPAD_TONY_KM2,2,

SK0102,2010,ODPAD_TONY_KM2,3,

SK0102,2010,ODPAD_TONY_KM2,4,

SK0102,2009,PROD_TONY,1,

SK0102,2009,PROD_TONY,2,

SK0102,2009,PROD_TONY,3,

SK0102,2009,PROD_TONY,4,

SK0102,2009,ODPAD_TONY_KM2,1,

SK0102,2009,ODPAD_TONY_KM2,2,

SK0102,2009,ODPAD_TONY_KM2,3,

SK0102,2009,ODPAD_TONY_KM2,4,

SK0102,2008,PROD_TONY,1,

SK0102,2008,PROD_TONY,2,

SK0102,2008,PROD_TONY,3,

SK0102,2008,PROD_TONY,4,

SK0102,2008,ODPAD_TONY_KM2,1,

SK0102,2008,ODPAD_TONY_KM2,2,

SK0102,2008,ODPAD_TONY_KM2,3,

SK0102,2008,ODPAD_TONY_KM2,4,

SK0102,2007,PROD_TONY,1,

SK0102,2007,PROD_TONY,2,

SK0102,2007,PROD_TONY,3,

SK0102,2007,PROD_TONY,4,

SK0102,2007,ODPAD_TONY_KM2,1,

SK0102,2007,ODPAD_TONY_KM2,2,

SK0102,2007,ODPAD_TONY_KM2,3,

SK0102,2007,ODPAD_TONY_KM2,4,

SK0102,2006,PROD_TONY,1,

SK0102,2006,PROD_TONY,2,

SK0102,2006,PROD_TONY,3,

SK0102,2006,PROD_TONY,4,

SK0102,2006,ODPAD_TONY_KM2,1,

SK0102,2006,ODPAD_TONY_KM2,2,

SK0102,2006,ODPAD_TONY_KM2,3,

SK0102,2006,ODPAD_TONY_KM2,4,

SK0102,2005,PROD_TONY,1,

SK0102,2005,PROD_TONY,2,

SK0102,2005,PROD_TONY,3,

SK0102,2005,PROD_TONY,4,

SK0102,2005,ODPAD_TONY_KM2,1,

SK0102,2005,ODPAD_TONY_KM2,2,

SK0102,2005,ODPAD_TONY_KM2,3,

SK0102,2005,ODPAD_TONY_KM2,4,

SK0102,2004,PROD_TONY,1,

SK0102,2004,PROD_TONY,2,

SK0102,2004,PROD_TONY,3,

SK0102,2004,PROD_TONY,4,

SK0102,2004,ODPAD_TONY_KM2,1,

SK0102,2004,ODPAD_TONY_KM2,2,

SK0102,2004,ODPAD_TONY_KM2,3,

SK0102,2004,ODPAD_TONY_KM2,4,

SK0102,2003,PROD_TONY,1,

SK0102,2003,PROD_TONY,2,

SK0102,2003,PROD_TONY,3,

SK0102,2003,PROD_TONY,4,

SK0102,2003,ODPAD_TONY_KM2,1,

SK0102,2003,ODPAD_TONY_KM2,2,

SK0102,2003,ODPAD_TONY_KM2,3,

SK0102,2003,ODPAD_TONY_KM2,4,

SK0102,2002,PROD_TONY,1,

SK0102,2002,PROD_TONY,2,

SK0102,2002,PROD_TONY,3,

SK0102,2002,PROD_TONY,4,

SK0102,2002,ODPAD_TONY_KM2,1,

SK0102,2002,ODPAD_TONY_KM2,2,

SK0102,2002,ODPAD_TONY_KM2,3,

SK0102,2002,ODPAD_TONY_KM2,4,

SK0102,2001,PROD_TONY,1,

SK0102,2001,PROD_TONY,2,

SK0102,2001,PROD_TONY,3,

SK0102,2001,PROD_TONY,4,

SK0102,2001,ODPAD_TONY_KM2,1,

SK0102,2001,ODPAD_TONY_KM2,2,

SK0102,2001,ODPAD_TONY_KM2,3,

SK0102,2001,ODPAD_TONY_KM2,4,

SK0103,2019,PROD_TONY,1,

SK0103,2019,PROD_TONY,2,

SK0103,2019,PROD_TONY,3,

SK0103,2019,PROD_TONY,4,

SK0103,2019,ODPAD_TONY_KM2,1,

SK0103,2019,ODPAD_TONY_KM2,2,

SK0103,2019,ODPAD_TONY_KM2,3,

SK0103,2019,ODPAD_TONY_KM2,4,

SK0103,2018,PROD_TONY,1,

SK0103,2018,PROD_TONY,2,

SK0103,2018,PROD_TONY,3,

SK0103,2018,PROD_TONY,4,

SK0103,2018,ODPAD_TONY_KM2,1,

SK0103,2018,ODPAD_TONY_KM2,2,

SK0103,2018,ODPAD_TONY_KM2,3,

SK0103,2018,ODPAD_TONY_KM2,4,

SK0103,2017,PROD_TONY,1,

SK0103,2017,PROD_TONY,2,

SK0103,2017,PROD_TONY,3,

SK0103,2017,PROD_TONY,4,

SK0103,2017,ODPAD_TONY_KM2,1,

SK0103,2017,ODPAD_TONY_KM2,2,

SK0103,2017,ODPAD_TONY_KM2,3,

SK0103,2017,ODPAD_TONY_KM2,4,

SK0103,2016,PROD_TONY,1,

SK0103,2016,PROD_TONY,2,

SK0103,2016,PROD_TONY,3,

SK0103,2016,PROD_TONY,4,

SK0103,2016,ODPAD_TONY_KM2,1,

SK0103,2016,ODPAD_TONY_KM2,2,

SK0103,2016,ODPAD_TONY_KM2,3,

SK0103,2016,ODPAD_TONY_KM2,4,

SK0103,2015,PROD_TONY,1,

SK0103,2015,PROD_TONY,2,

SK0103,2015,PROD_TONY,3,

SK0103,2015,PROD_TONY,4,

SK0103,2015,ODPAD_TONY_KM2,1,

SK0103,2015,ODPAD_TONY_KM2,2,

SK0103,2015,ODPAD_TONY_KM2,3,

SK0103,2015,ODPAD_TONY_KM2,4,

SK0103,2014,PROD_TONY,1,

SK0103,2014,PROD_TONY,2,

SK0103,2014,PROD_TONY,3,

SK0103,2014,PROD_TONY,4,

SK0103,2014,ODPAD_TONY_KM2,1,

SK0103,2014,ODPAD_TONY_KM2,2,

SK0103,2014,ODPAD_TONY_KM2,3,

SK0103,2014,ODPAD_TONY_KM2,4,

SK0103,2013,PROD_TONY,1,

SK0103,2013,PROD_TONY,2,

