

Kraj,Rok,Typ,BordelTyp,Hodnota
SK0103,2003,ODPAD_TONY_KM2,4,

SK0103,2002,PROD_TONY,1,

SK0103,2002,PROD_TONY,2,

SK0103,2002,PROD_TONY,3,

SK0103,2002,PROD_TONY,4,

SK0103,2002,ODPAD_TONY_KM2,1,

SK0103,2002,ODPAD_TONY_KM2,2,

SK0103,2002,ODPAD_TONY_KM2,3,

SK0103,2002,ODPAD_TONY_KM2,4,

SK0103,2001,PROD_TONY,1,

SK0103,2001,PROD_TONY,2,

SK0103,2001,PROD_TONY,3,

SK0103,2001,PROD_TONY,4,

SK0103,2001,ODPAD_TONY_KM2,1,

SK0103,2001,ODPAD_TONY_KM2,2,

SK0103,2001,ODPAD_TONY_KM2,3,

SK0103,2001,ODPAD_TONY_KM2,4,

SK0104,2019,PROD_TONY,1,

SK0104,2019,PROD_TONY,2,

SK0104,2019,PROD_TONY,3,

SK0104,2019,PROD_TONY,4,

SK0104,2019,ODPAD_TONY_KM2,1,

SK0104,2019,ODPAD_TONY_KM2,2,

SK0104,2019,ODPAD_TONY_KM2,3,

